year,man,woman,era
1996,77.01,83.59,平成
1997,77.19,83.82,平成
1998,77.16,84.01,平成
1999,77.1,83.99,平成
2000,77.64,84.62,平成
2001,78.07,84.93,平成
2002,78.32,85.23,平成
2003,78.36,85.33,平成
2004,78.64,85.59,平成
2005,78.53,85.49,平成
2006,79,85.81,平成
2007,79.19,85.99,平成
2008,79.29,86.05,平成
2009,79.59,86.44,平成
2010,79.64,86.39,平成
2011,79.44,85.9,平成
2012,79.94,86.41,平成
2013,80.21,86.61,平成
2014,80.5,86.83,平成
2015,80.79,87.05,平成
2016,80.98,87.14,平成
2017,81.09,87.26,平成
2018,81.25,87.32,平成
2019,81.41,87.45,令和
2020,81.64,87.74,令和
2021,81.47,87.57,令和
2022,81.05,87.09,令和
2023,81.09,87.14,令和
2024,81.09,87.13,令和
